title,year,letterboxd_rating,letterboxd_url,slug,box_office,budget,imdb_rating,genre,director,actors,plot,awards,runtime,country,language,is_underperformer,box_office_millions,budget_millions,roi,rating_differential
The Long Walk,,4.0,https://letterboxd.com/film/the-long-walk/,the-long-walk,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
Weapons,,4.0,https://letterboxd.com/film/weapons/,weapons,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
The Naked Gun,,4.0,https://letterboxd.com/film/the-naked-gun/,the-naked-gun,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
The Thursday Murder Club,,4.0,https://letterboxd.com/film/the-thursday-murder-club/,the-thursday-murder-club,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
Good Will Hunting,,4.0,https://letterboxd.com/film/good-will-hunting/,good-will-hunting,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
Dead Poets Society,,4.0,https://letterboxd.com/film/dead-poets-society/,dead-poets-society,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
Honey Don't!,,4.0,https://letterboxd.com/film/honey-dont!/,honey-dont!,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
Thunderbolts*,,4.0,https://letterboxd.com/film/thunderbolts*/,thunderbolts*,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
The Conjuring,,4.0,https://letterboxd.com/film/the-conjuring/,the-conjuring,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
Materialists,,4.0,https://letterboxd.com/film/materialists/,materialists,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
Caught Stealing,,4.0,https://letterboxd.com/film/caught-stealing/,caught-stealing,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
Sinners,,4.0,https://letterboxd.com/film/sinners/,sinners,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
KPop Demon Hunters,,4.0,https://letterboxd.com/film/kpop-demon-hunters/,kpop-demon-hunters,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
HIM,,4.0,https://letterboxd.com/film/him/,him,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
The Wrong Paris,,4.0,https://letterboxd.com/film/the-wrong-paris/,the-wrong-paris,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
Unknown Number: The High School Catfish,,4.0,https://letterboxd.com/film/unknown-number-the-high-school-catfish/,unknown-number-the-high-school-catfish,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
Superman,,4.0,https://letterboxd.com/film/superman/,superman,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
The Conjuring: Last Rites,,4.0,https://letterboxd.com/film/the-conjuring-last-rites/,the-conjuring-last-rites,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
Demon Slayer: Kimetsu no Yaiba Infinity Castle,,4.0,https://letterboxd.com/film/demon-slayer-kimetsu-no-yaiba-infinity-castle/,demon-slayer-kimetsu-no-yaiba-infinity-castle,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
The Roses,,4.0,https://letterboxd.com/film/the-roses/,the-roses,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.0
