title,year,letterboxd_rating,source_url,slug,letterboxd_url,box_office,budget,imdb_rating,genre,director,actors,plot,awards,runtime,country,language,is_underperformer,box_office_millions,budget_millions,roi,rating_differential,decade,decade_label
The Long Walk,2019,4.0,https://letterboxd.com/films/,the-long-walk,https://letterboxd.com/film/the-long-walk/,0,0,6.9,"Drama, Horror, Mystery",Mattie Do,"Yannawoutthi Chanthalungsy, Vilouna Phetmany, Por Silatsa",An old Laotian hermit discovers that the ghost of a road accident victim can transport him back in time fifty years to the moment of his mother's painful death.,5 wins & 4 nominations total,116 min,Laos,Lao,True,0.0,0.0,,-2.9,2010,2010s
HIM,2018,4.0,https://letterboxd.com/films/,him,https://letterboxd.com/film/him/,0,0,7.7,"Short, Drama",Runar Þór Sigurbjörnsson,"Ásgeir Sigurðsson, Bryndís Ásmundsdóttir, David Gudbrandsson","Andri, an anxious teenage boy, hides and represses his sexuality in fear of his masculine father's reaction but, on the eve of Andri's first date, he finds a clever way to reveal his secret.",N/A,14 min,Iceland,Icelandic,True,0.0,0.0,,-3.7,2010,2010s
Dead Poets Society,1989,4.0,https://letterboxd.com/films/,dead-poets-society,https://letterboxd.com/film/dead-poets-society/,95860116,0,8.1,"Comedy, Drama",Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke","Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expressi",Won 1 Oscar. 20 wins & 19 nominations total,128 min,United States,"English, Latin, French",False,95.86,0.0,,-4.1,1980,1980s
The Conjuring,2013,4.0,https://letterboxd.com/films/,the-conjuring,https://letterboxd.com/film/the-conjuring/,137446368,0,7.5,"Horror, Mystery, Thriller",James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,15 wins & 22 nominations total,112 min,United States,"English, Latin",False,137.45,0.0,,-3.5,2010,2010s
Good Will Hunting,1997,4.0,https://letterboxd.com/films/,good-will-hunting,https://letterboxd.com/film/good-will-hunting/,138433435,0,8.3,"Drama, Romance",Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck","A therapist counsels Will Hunting, a janitor with a genius IQ.",Won 2 Oscars. 25 wins & 61 nominations total,126 min,United States,English,False,138.43,0.0,,-4.3,1990,1990s
Sirāt,2016,4.0,https://letterboxd.com/films/,sirāt,https://letterboxd.com/film/sirāt/,0,0,0.0,"Short, Drama, War",Nuri Cihan Ozdogan,"Celal Kaan Aktas, Nevzat Kara, Taner Kara",A father who lost his everything at war dreaming of crossing the border with his son and a piece of peaceful land. But the cold breathe of war will never stop haunting those who witnessed it. To pass ,4 nominations total,14 min,Turkey,Arabic,True,0.0,0.0,,4.0,2010,2010s
Together,2000,4.0,https://letterboxd.com/films/,together,https://letterboxd.com/film/together/,1034829,0,7.4,"Comedy, Drama, Romance",Lukas Moodysson,"Lisa Lindgren, Michael Nyqvist, Emma Samuelsson","In 1975, the dynamics of a Swedish commune begin to change upon the arrival of a beaten wife and her two kids.",15 wins & 16 nominations,106 min,"Sweden, Denmark, Italy",Swedish,True,1.03,0.0,,-3.4,2000,2000s
Sydney🚀,2007,4.0,https://letterboxd.com/films/,sydney,https://letterboxd.com/film/sydney/,11892415,0,6.2,"Comedy, Drama, Romance",Joe Nussbaum,"Amanda Bynes, Sara Paxton, Matt Long","After being banished from the most popular sorority on campus, Sydney White teams up with a group of socially awkward outcasts to outdo the queen at her own game.",N/A,108 min,United States,English,True,11.89,0.0,,-2.2,2000,2000s
allain♡,2009,4.0,https://letterboxd.com/films/,allain,https://letterboxd.com/film/allain/,0,0,8.0,"Short, Music",Brent Geisler,"Wade Allain-Marcus, David Baum, Nina Dobrev",N/A,N/A,4 min,USA,English,True,0.0,0.0,,-4.0,2000,2000s
Anemone,2018,4.0,https://letterboxd.com/films/,anemone,https://letterboxd.com/film/anemone/,0,0,9.0,"Short, Drama",Amrou Al-Kadhi,"Sekela Nancy Ngamilo, Ione Brown, Tsion Habte",A second-generation teen searches for a way to express their non-binary identity.,2 nominations,18 min,United Kingdom,English,True,0.0,0.0,,-5.0,2010,2010s
The Smashing Machine,2002,4.0,https://letterboxd.com/films/,the-smashing-machine,https://letterboxd.com/film/the-smashing-machine/,0,0,7.7,"Documentary, Sport",John Hyams,"Mark Kerr, Mark Coleman, Dawn Staples","This is a documentary that follows M.M.A. great Mark Kerr, and his string of amazing victories in the ring.",N/A,93 min,United States,English,True,0.0,0.0,,-3.7,2000,2000s
Karsten,2015,4.0,https://letterboxd.com/films/,karsten,https://letterboxd.com/film/karsten/,0,0,6.4,Family,Arne Lindtner Næss,"Nora Amundsen, Hilde Louise Asbjørnsen, Felicia Formoe","Karsten (Casper in some countries) and Emma go with Emma's Mother to Africa to help with a veterinarian, Emma's mother's friend.",N/A,75 min,Norway,Norwegian,True,0.0,0.0,,-2.4,2010,2010s
